DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 05:07:46,10,16,0,1027.625,57.944,8,83,664,0,0,5.375,12.25
2025-02-28 05:07:48,10,20,0,1007.1,51.725,10,83,830,0,0,0.35,1
2025-02-28 05:07:50,10,21,0,1001.952,61.346,10.5,83.286,874.5,0,0,0.476,1.19
2025-02-28 05:07:52,20,34,0,1023.794,76.946,17,84,1428,0,0,0.706,1.088
2025-02-28 05:07:54,20,43,0,1003.814,59.021,21.5,84,1806,0,0,0.558,1.023
2025-02-28 05:07:56,20,39,0,1002.564,64.635,19.5,83.667,1631.5,0,0,0.564,1.103
2025-02-28 05:07:58,20,39,0,1006.385,62.251,19.5,83,1618.5,0,0,0.538,1.128
2025-02-28 05:08:00,30,46,0,1009.587,67.923,23,83,1909,0,0,0.391,1.043
2025-02-28 05:08:02,30,61,0,1003.59,63.294,30.5,83,2531.5,0,0,0.459,1.016
2025-02-28 05:08:04,30,59,0,1003.153,66.971,29.5,83,2448.5,0,0,0.407,0.898
2025-02-28 05:08:06,30,62,0,1001.71,67.534,31,83,2573,0,0,0.613,1.226
2025-02-28 05:08:08,39,66,0,1006.606,69.751,33,83,2739,0,0,0.394,1
2025-02-28 05:08:10,40,80,0,995.888,59.869,40,83,3320,0,0,0.388,0.875
2025-02-28 05:08:12,40,77,0,1009.468,58.075,38.5,83,3195.5,0,0,0.416,0.818
2025-02-28 05:08:14,40,81,0,996.691,66.791,40.5,83,3361.5,0,0,0.309,0.827
2025-02-28 05:08:16,49,88,0,1011.307,69.366,44,83,3652,0,0,0.398,0.75
2025-02-28 05:08:18,50,104,0,1000.894,63.016,52,83,4316,0,0,0.433,0.894
2025-02-28 05:08:20,50,98,0,993.214,64.353,49,83,4067,0,0,0.439,0.929
2025-02-28 05:08:22,50,101,0,1010.822,65.455,50.5,83,4191.5,0,0,0.436,0.861
2025-02-28 05:08:24,60,164,0,1002.756,58.477,82,83,6806,0,0,0.421,0.811
2025-02-28 05:08:26,60,124,0,991.21,66.454,62,83,5146,0,0,0.347,0.815
2025-02-28 05:08:28,60,117,0,1005.026,70.735,58.5,83,4855.5,0,0,0.368,0.821
2025-02-28 05:08:30,62,120,0,1011.3,62.735,60,83,4980,0,0,0.367,0.692
2025-02-28 05:08:32,70,136,0,1003.824,63.732,68,83,5644,0,0,0.39,0.779
2025-02-28 05:08:34,70,138,0,997.971,62.254,69,83,5727,0,0,0.391,0.746
2025-02-28 05:08:36,70,140,0,1007.843,63.149,70,83,5810,0,0,0.314,0.814
2025-02-28 05:08:38,72,145,0,1001.448,64.689,72.5,82.607,5989,0,0,0.31,0.814
2025-02-28 05:08:40,80,155,0,993.832,66.562,77.5,82,6355,0,0,0.355,0.723
2025-02-28 05:08:42,80,162,0,998.333,63.805,81,82,6642,0,0,0.383,0.802
2025-02-28 05:08:44,80,163,0,1001.11,66.111,81.5,82.374,6713.5,0,0,0.399,0.798
2025-02-28 05:08:46,82,156,0,997.66,64.115,78,83,6474,0,0,0.333,0.692
2025-02-28 05:08:48,90,181,0,997.376,66.069,90.5,83,7511.5,0,0,0.37,0.691
2025-02-28 05:08:50,90,179,0,997.324,66.2,89.5,83.397,7464,0,0,0.341,0.721
2025-02-28 05:08:52,90,177,0,999.435,68.305,88.5,84,7434,0,0,0.322,0.672
2025-02-28 05:08:54,92,181,0,1005.215,69.144,90.5,84,7602,0,0,0.337,0.713
2025-02-28 05:08:56,100,288,0,1004.778,66.72,144,83.747,12059.5,0,0,0.333,0.75
2025-02-28 05:08:58,100,202,0,999.277,60.873,101,83,8383,0,0,0.376,0.688
2025-02-28 05:09:00,100,200,0,998.585,62.126,100,83,8300,0,0,0.305,0.66
2025-02-28 05:09:02,110,201,0,1005.657,65.573,100.5,82.622,8303.5,0,0,0.333,0.697
2025-02-28 05:09:04,110,226,0,997.186,58.202,113,82,9266,0,0,0.305,0.584
2025-02-28 05:09:06,110,222,0,1003.095,63.341,111,82,9102,0,0,0.243,0.608
2025-02-28 05:09:08,110,227,0,998.714,66.218,113.5,82.811,9399,0,0,0.317,0.771
2025-02-28 05:09:10,120,226,0,1000.08,60.192,113,84,9492,0,0,0.248,0.593
2025-02-28 05:09:12,120,243,0,1002.169,65.581,121.5,84,10206,0,0,0.305,0.671
2025-02-28 05:09:14,120,235,0,1000.157,61.453,117.5,83.583,9821,0,0,0.251,0.604
2025-02-28 05:09:16,120,239,0,1000.531,65.385,119.5,83,9918.5,0,0,0.339,0.669
2025-02-28 05:09:18,130,247,0,1000.599,67.796,123.5,83,10250.5,0,0,0.247,0.628
2025-02-28 05:09:20,130,260,0,1004.931,70.565,130,83,10790,0,0,0.262,0.596
2025-02-28 05:09:22,130,261,0,997.985,67.989,130.5,83,10831.5,0,0,0.222,0.571
2025-02-28 05:09:24,130,259,0,995.375,69.602,129.5,83,10748.5,0,0,0.29,0.618
2025-02-28 05:09:26,140,402,0,1001.918,62.641,201,82.386,16559.5,0,0,0.274,0.642
2025-02-28 05:09:28,140,275,0,1001.527,67.139,137.5,82,11275,0,0,0.316,0.669
2025-02-28 05:09:30,140,278,0,1001.309,72.565,139,82,11398,0,0,0.284,0.554
2025-02-28 05:09:32,140,283,0,1003.594,69.099,141.5,82.799,11716,0,0,0.254,0.519
2025-02-28 05:09:34,150,291,0,997.478,65.478,145.5,84,12222,0,0,0.244,0.533
2025-02-28 05:09:36,150,304,0,1004.891,66.974,152,84,12768,0,0,0.22,0.533
2025-02-28 05:09:38,150,300,0,1005.813,63.752,150,84,12600,0,0,0.247,0.52
2025-02-28 05:09:40,150,304,0,989.27,62.261,152,84,12768,0,0,0.243,0.543
2025-02-28 05:09:42,160,316,0,1003.329,65.091,158,84,13272,0,0,0.225,0.611
2025-02-28 05:09:44,160,321,0,1002.374,64.111,160.5,83.576,13414,0,0,0.212,0.623
2025-02-28 05:09:46,160,320,0,1000.069,64.62,160,83,13280,0,0,0.241,0.512
2025-02-28 05:09:48,160,321,0,1003.785,64.549,160.5,83,13321.5,0,0,0.234,0.539
2025-02-28 05:09:50,170,345,0,996.041,67.286,172.5,83,14317.5,0,0,0.27,0.58
2025-02-28 05:09:52,170,334,0,1000.335,65.907,167,83,13861,0,0,0.302,0.548
2025-02-28 05:09:54,170,342,0,1001.126,65.022,171,83,14193,0,0,0.284,0.5
2025-02-28 05:09:56,170,341,0,997.408,65.318,170.5,82.566,14077.5,0,0,0.311,0.721
2025-02-28 05:09:58,180,530,0,1003.362,65.579,265,82,21730,0,0,0.249,0.558
2025-02-28 05:10:00,180,358,0,1003.587,67.823,179,82,14678,0,0,0.226,0.662
2025-02-28 05:10:02,180,361,0,1002.402,67.036,180.5,82.931,14969,0,0,0.211,0.526
2025-02-28 05:10:04,190,366,0,1000.085,65.752,183,84,15372,0,0,0.18,0.511
2025-02-28 05:10:06,190,377,0,998.642,66.024,188.5,84,15834,0,0,0.233,0.515
2025-02-28 05:10:08,190,378,0,999.032,65.979,189,83.558,15792.5,0,0,0.161,0.468
2025-02-28 05:10:10,190,378,0,999.212,63.402,189,83,15687,0,0,0.246,0.646
2025-02-28 05:10:12,200,385,0,1004.148,62.057,192.5,83,15977.5,0,0,0.205,0.592
2025-02-28 05:10:14,200,401,0,999.626,64.611,200.5,83,16641.5,0,0,0.185,0.474
2025-02-28 05:10:16,200,401,0,999.11,60.024,200.5,83,16641.5,0,0,0.214,0.491
2025-02-28 05:10:18,200,404,0,999.74,62.37,202,83,16766,0,0,0.225,0.562
2025-02-28 05:10:20,210,406,0,995.313,63.344,203,81.167,16477,0,0,0.224,0.505
2025-02-28 05:10:22,210,419,0,1000.258,65.123,209.5,79,16550.5,0,0,0.224,0.506
2025-02-28 05:10:24,210,417,0,1004.916,61.623,208.5,79,16471.5,0,0,0.221,0.52
2025-02-28 05:10:26,210,436,0,1004.206,59.347,218,80.853,17626,0,0,0.245,0.525
2025-02-28 05:10:28,220,400,0,1003.695,67.986,200,83,16600,0,0,0.21,0.463
2025-02-28 05:10:30,220,584,0,1001.099,61.038,292,83,24236,0,0,0.211,0.452
2025-02-28 05:10:32,220,446,0,998.41,63.462,223,83.007,18510.5,0,0,0.215,0.576
2025-02-28 05:10:34,222,443,0,998.169,64.631,221.5,83,18384.5,0,0,0.214,0.503
2025-02-28 05:10:36,230,453,0,1001.879,65.129,226.5,83,18799.5,0,0,0.28,0.556
2025-02-28 05:10:38,230,459,0,1002.107,69.068,229.5,83.283,19113.5,0,0,0.277,0.603
2025-02-28 05:10:40,230,460,0,997.322,61.287,230,84,19320,0,0,0.27,0.537
2025-02-28 05:10:42,232,461,0,1000.375,65.468,230.5,84,19362,0,0,0.219,0.497
2025-02-28 05:10:44,240,476,0,1002.863,64.344,238,83.7,19920.5,0,0,0.265,0.567
2025-02-28 05:10:46,240,480,0,1000.41,62.628,240,83,19920,0,0,0.233,0.477
2025-02-28 05:10:48,240,484,0,1000.176,65.454,242,83,20086,0,0,0.215,0.483
2025-02-28 05:10:50,242,477,0,1002.836,64.031,238.5,83.312,19870,0,0,0.235,0.501
2025-02-28 05:10:52,250,496,0,1001.127,66.082,248,84,20832,0,0,0.232,0.502
2025-02-28 05:10:54,250,496,0,997.558,62.401,248,84,20832,0,0,0.28,0.603
2025-02-28 05:10:56,250,497,0,1001.483,64.911,248.5,84,20874,0,0,0.278,0.515
2025-02-28 05:10:58,252,502,0,998.98,65.205,251,84,21084,0,0,0.247,0.534
2025-02-28 05:11:00,260,707,0,1003.406,65.615,353.5,84,29694,0,0,0.214,0.461
2025-02-28 05:11:02,260,599,0,995.451,64.789,299.5,83.993,25156,0,0,0.21,0.538
2025-02-28 05:11:04,260,521,0,1002.893,62.012,260.5,84,21882,0,0,0.194,0.885
2025-02-28 05:11:06,270,522,0,996.423,63.628,261,84,21924,0,0,0.18,0.427
2025-02-28 05:11:08,270,538,0,1003.275,65.604,269,83.662,22505,0,0,0.204,0.989
2025-02-28 05:11:10,270,544,0,1000.754,65.411,272,83,22576,0,0,0.211,0.566
2025-02-28 05:11:12,270,536,0,1001.853,65.493,268,83,22244,0,0,0.213,0.532
2025-02-28 05:11:14,280,543,0,1003.497,63.168,271.5,83.341,22627,0,0,0.219,0.958
2025-02-28 05:11:16,280,566,0,1002.746,62.776,283,84,23772,0,0,0.182,0.422
2025-02-28 05:11:18,280,569,0,1006.337,66.89,284.5,84,23898,0,0,0.183,0.757
2025-02-28 05:11:20,280,559,0,999.156,65.832,279.5,83.628,23374,0,0,0.197,0.657
2025-02-28 05:11:22,290,569,0,1000.033,65.949,284.5,83,23613.5,0,0,0.204,0.469
2025-02-28 05:11:24,290,577,0,1001.471,66.052,288.5,83,23945.5,0,0,0.208,0.867
2025-02-28 05:11:26,290,584,0,1004.027,62.779,292,83.382,24347.5,0,0,0.192,0.452
2025-02-28 05:11:28,290,583,0,1001.964,65.716,291.5,84,24486,0,0,0.213,0.931
2025-02-28 05:11:30,300,589,0,999.679,64.137,294.5,84,24738,0,0,0.178,0.657
2025-02-28 05:11:32,300,897,0,1001.664,65.764,448.5,83.998,37673,0,0,0.195,0.635
2025-02-28 05:11:34,300,605,0,998.339,66.267,302.5,84,25410,0,0,0.167,0.625
2025-02-28 05:11:36,304,597,0,999.667,65.802,298.5,84,25074,0,0,0.224,0.513
2025-02-28 05:11:38,310,616,0,999.166,65.477,308,83.607,25751,0,0,0.201,0.927
2025-02-28 05:11:40,310,612,0,1003.286,66.011,306,83,25398,0,0,0.196,0.531
2025-02-28 05:11:42,310,618,0,1000.943,60.687,309,83,25647,0,0,0.231,0.617
