DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 02:19:41,29,27,0,1026.963,58.903,13.5,83.259,1124,0,0,5.111,10.481
2025-03-04 02:19:43,49,102,0,992.735,64.223,51,83.422,4254.5,0,0,0.706,2.863
2025-03-04 02:19:45,69,79,0,976.291,68.399,39.5,83.405,3294.5,0,0,0.494,2.62
2025-03-04 02:19:47,88,149,0,1004.671,66.174,74.5,83.503,6221,0,0,0.416,2.047
2025-03-04 02:19:49,108,187,0,1011.422,73.784,93.5,83.529,7810,0,0,0.471,2.316
2025-03-04 02:19:51,128,229,0,1000.297,61.503,114.5,83.489,9559.5,0,0,0.371,1.926
2025-03-04 02:19:53,149,266,0,1001.282,64.36,133,83.414,11094,0,0,0.376,1.985
2025-03-04 02:19:55,170,306,0,999.353,67.999,153,83.395,12759.5,0,0,0.399,1.984
2025-03-04 02:19:57,190,356,0,997.067,65.638,178,83.472,14858,0,0,0.317,1.744
2025-03-04 02:19:59,209,389,0,1007.452,66.105,194.5,83.347,16211,0,0,0.339,2.095
2025-03-04 02:20:01,229,431,0,1004.283,68.644,215.5,83.51,17996.5,0,0,0.323,1.861
2025-03-04 02:20:03,249,469,0,1003.48,65.486,234.5,83.473,19574.5,0,0,0.309,1.827
2025-03-04 02:20:05,269,514,0,1001.617,65.426,257,83.514,21463,0,0,0.249,1.776
2025-03-04 02:20:07,288,550,0,999.447,63.468,275,83.482,22957.5,0,0,0.3,1.844
2025-03-04 02:20:09,308,594,0,1000.451,64.11,297,83.407,24772,0,0,0.29,1.936
2025-03-04 02:20:11,328,626,0,996.463,66.701,313,83.435,26115,0,0,0.278,1.949
2025-03-04 02:20:13,349,664,0,1005.331,66.739,332,83.289,27652,0,0,0.233,2.378
2025-03-04 02:20:15,368,718,0,1001.185,66.408,359,83.49,29973,0,0,0.237,1.78
2025-03-04 02:20:17,389,749,0,999.128,62.422,374.5,83.403,31234.5,0,0,0.227,1.903
2025-03-04 02:20:19,409,786,0,1003.13,66.599,393,83.402,32777,0,0,0.195,1.882
2025-03-04 02:20:21,429,829,0,1003.953,63.52,414.5,83.37,34557,0,0,0.209,1.736
2025-03-04 02:20:23,450,879,0,998.759,68.49,439.5,83.537,36714.5,0,0,0.201,1.838
2025-03-04 02:20:25,469,902,0,999.459,66.659,451,83.432,37628,0,0,0.178,1.952
2025-03-04 02:20:27,488,944,0,1004.434,67.025,472,83.485,39405,0,0,0.192,1.807
2025-03-04 02:20:29,508,962,0,1006.479,66.09,481,83.352,40092.5,0,0,0.181,4.45
2025-03-04 02:20:31,528,684,0,1391.346,138.446,342,81.069,27725.5,0,0,0.19,389.392
2025-03-04 02:20:33,549,669,0,1540.771,99.915,334.5,81.167,27150.5,0,0,0.217,540.35
2025-03-04 02:20:35,569,534,0,1785.545,198.407,267,81.092,21651.5,0,0,0.238,786.949
2025-03-04 02:20:37,589,727,0,1747.755,161.398,363.5,81.205,29518,0,0,0.246,747.448
2025-03-04 02:20:39,609,689,0,1628.839,98.682,344.5,81.134,27950.5,0,0,0.205,630.563
2025-03-04 02:20:41,629,655,0,1800.324,87.591,327.5,81.147,26575.5,0,0,0.208,802.226
2025-03-04 02:20:43,649,592,0,2041.559,112.685,296,81.034,23986,0,0,0.236,1040.123
2025-03-04 02:20:45,668,708,0,1954.264,120.471,354,81.12,28716.5,0,0,0.213,953.797
2025-03-04 02:20:47,689,590,0,2019.664,126.701,295,81.066,23914.5,0,0,0.232,1014.841
2025-03-04 02:20:49,710,677,0,2192.922,108.85,338.5,81.072,27443,0,0,0.245,1193.722
2025-03-04 02:20:51,730,631,0,2053.298,103.6,315.5,81.086,25582.5,0,0,0.177,1051.67
2025-03-04 02:20:53,750,549,0,2559.444,151.242,274.5,81.051,22248.5,0,0,0.24,1556.574
2025-03-04 02:20:55,769,578,0,2605.979,139.119,289,81.1,23438,0,0,0.232,1603.446
2025-03-04 02:20:57,789,623,0,2379.812,132.599,311.5,81.146,25277,0,0,0.217,1380.618
2025-03-04 02:20:59,809,638,0,2574.373,87.136,319,81.017,25844.5,0,0,0.232,1570.155
2025-03-04 02:21:01,829,669,0,2412.934,143.317,334.5,81.114,27132.5,0,0,0.241,1410.984
2025-03-04 02:21:03,849,655,0,2516.753,81.571,327.5,81.136,26572,0,0,0.195,1516.51
2025-03-04 02:21:05,870,560,0,2641.13,106.863,280,81.021,22686,0,0,0.191,1637.184
2025-03-04 02:21:07,889,611,0,2970.427,107.588,305.5,81.088,24772.5,0,0,0.219,1969.809
2025-03-04 02:21:09,909,567,0,2942.818,93.751,283.5,81.051,22978,0,0,0.201,1944.658
2025-03-04 02:21:11,929,663,0,2921.659,97.863,331.5,81.075,26876.5,0,0,0.231,1917.721
2025-03-04 02:21:13,950,575,0,2939.263,117.363,287.5,81.024,23294.5,0,0,0.203,1937.675
2025-03-04 02:21:15,969,621,0,3100.882,106.404,310.5,81.111,25185,0,0,0.232,2101.886
2025-03-04 02:21:17,989,608,0,3075.954,101.503,304,81.069,24645,0,0,0.224,2074.609
2025-03-04 02:21:19,1000,641,0,3150.846,98.302,320.5,81.22,26031,0,0,0.212,2147.949
2025-03-04 02:21:21,1000,629,0,3069.528,101.846,314.5,81.138,25518,0,0,0.393,2071.671
2025-03-04 02:21:23,1000,661,0,3192.401,101.76,330.5,81.089,26800,0,0,0.209,2184.865
2025-03-04 02:21:25,1000,712,0,2956.92,149.625,356,81.107,28874,0,0,0.223,1954.92
2025-03-04 02:21:27,1000,611,0,2810.966,147.192,305.5,81.049,24760.5,0,0,0.188,1806.196
2025-03-04 02:21:29,1000,612,0,3258.645,138.938,306,81.144,24830,0,0,0.247,2259.131
2025-03-04 02:21:31,1000,652,0,3292.945,164.236,326,81.09,26435.5,0,0,0.27,2287.069
2025-03-04 02:21:33,1000,627,0,3141.383,100.671,313.5,81.085,25420,0,0,0.292,2147.619
2025-03-04 02:21:35,1000,592,0,3239.767,125.636,296,81.147,24019.5,0,0,0.194,2237.461
2025-03-04 02:21:37,1000,595,0,3288.854,93.995,297.5,81.049,24112,0,0,0.188,2286.585
2025-03-04 02:21:39,1000,706,0,3133.307,104.961,353,81.137,28641.5,0,0,0.266,2127.283
