DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 01:08:22,26,83,0,995.277,67.812,41.5,82.988,3444,0,0,1.831,6.759
2025-03-04 01:08:24,59,105,0,1000.933,61.459,52.5,82.962,4355.5,0,0,0.514,3.762
2025-03-04 01:08:26,79,140,0,1001.643,64.433,70,83.029,5812,0,0,0.443,4.007
2025-03-04 01:08:28,100,184,0,1000.967,66.05,92,83,7636,0,0,0.533,4.223
2025-03-04 01:08:30,119,223,0,1001.453,66.176,111.5,83.049,9260,0,0,0.368,3.942
2025-03-04 01:08:32,140,264,0,994.42,65.284,132,82.97,10952,0,0,0.322,3.712
2025-03-04 01:08:34,160,298,0,1010.131,64.411,149,83.094,12381,0,0,0.352,4.332
2025-03-04 01:08:36,180,348,0,1007.253,65.282,174,82.971,14437,0,0,0.399,4.417
2025-03-04 01:08:38,199,380,0,1010.971,64.301,190,83.068,15783,0,0,0.382,5.026
2025-03-04 01:08:40,219,418,0,1010.141,64.441,209,82.988,17344.5,0,0,0.297,7.488
2025-03-04 01:08:42,239,449,0,1014.085,67.93,224.5,83.062,18647.5,0,0,0.321,10.073
2025-03-04 01:08:44,259,457,0,1057.744,88.505,228.5,82.851,18931.5,0,0,0.274,57.6
2025-03-04 01:08:46,279,417,0,1214.211,129.706,208.5,82.923,17289.5,0,0,0.338,214.209
2025-03-04 01:08:48,299,407,0,1388.627,234.345,203.5,82.867,16863.5,0,0,0.359,388.727
2025-03-04 01:08:50,319,452,0,1379.619,215.47,226,82.962,18749.5,0,0,0.294,378.033
2025-03-04 01:08:52,339,477,0,1429.633,256.11,238.5,83.04,19805,0,0,0.331,430.268
2025-03-04 01:08:54,378,682,0,1727.389,435.153,341,82.957,28288.5,0,0,0.342,417.987
2025-03-04 01:08:56,398,457,0,1706.252,418.69,228.5,83.044,18975.5,0,0,0.245,700.398
2025-03-04 01:08:58,417,412,0,1758.709,472.532,206,82.99,17096,0,0,0.25,760.068
2025-03-04 01:09:00,437,435,0,1998.018,595.689,217.5,82.961,18044,0,0,0.274,994.354
2025-03-04 01:09:02,459,441,0,1993.58,601.152,220.5,83,18301.5,0,0,0.249,996.311
2025-03-04 01:09:04,478,447,0,1999.846,575.736,223.5,83.025,18556,0,0,0.224,1003.819
2025-03-04 01:09:06,499,458,0,2057.074,624.042,229,83.015,19010.5,0,0,0.262,1053.09
2025-03-04 01:09:08,518,453,0,2182.435,698.036,226.5,83.031,18806.5,0,0,0.26,1186.768
2025-03-04 01:09:10,539,438,0,2264.758,748.651,219,82.993,18175.5,0,0,0.263,1260.345
2025-03-04 01:09:12,558,448,0,2318.219,764.264,224,83.033,18599.5,0,0,0.241,1323.098
