Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740622287,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.08%,"268MiB / 15.48GiB",1.69%,"425kB / 5.2MB","0B / 0B",32
1740622287,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.41%,"689.1MiB / 15.48GiB",4.35%,"5.2MB / 424kB","0B / 0B",224
1740622300,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.08%,"268MiB / 15.48GiB",1.69%,"426kB / 5.21MB","0B / 0B",32
1740622300,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.53%,"689.8MiB / 15.48GiB",4.35%,"5.21MB / 425kB","0B / 0B",222
1740622312,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.08%,"268MiB / 15.48GiB",1.69%,"427kB / 5.22MB","0B / 0B",32
1740622312,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.38%,"690.1MiB / 15.48GiB",4.35%,"5.22MB / 426kB","0B / 0B",222
1740622400,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.08%,"268MiB / 15.48GiB",1.69%,"433kB / 5.29MB","0B / 0B",32
1740622400,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.42%,"695.8MiB / 15.48GiB",4.39%,"5.29MB / 432kB","0B / 0B",224
1740622413,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.08%,"268.1MiB / 15.48GiB",1.69%,"434kB / 5.3MB","0B / 0B",32
1740622413,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.38%,"696.1MiB / 15.48GiB",4.39%,"5.3MB / 433kB","0B / 0B",224
1740622425,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.08%,"268MiB / 15.48GiB",1.69%,"434kB / 5.31MB","0B / 0B",32
1740622425,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.54%,"696.6MiB / 15.48GiB",4.40%,"5.32MB / 434kB","0B / 0B",221
1740622438,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.09%,"268MiB / 15.48GiB",1.69%,"435kB / 5.32MB","0B / 0B",32
1740622438,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.44%,"697.1MiB / 15.48GiB",4.40%,"5.33MB / 435kB","0B / 0B",221
1740622450,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.06%,"268MiB / 15.48GiB",1.69%,"436kB / 5.33MB","0B / 0B",32
1740622450,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.41%,"698.1MiB / 15.48GiB",4.40%,"5.34MB / 435kB","0B / 0B",223
1740622462,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.10%,"268.2MiB / 15.48GiB",1.69%,"437kB / 5.34MB","0B / 0B",32
1740622462,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.40%,"698.7MiB / 15.48GiB",4.41%,"5.35MB / 436kB","0B / 0B",223
1740622474,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.07%,"268.1MiB / 15.48GiB",1.69%,"438kB / 5.35MB","0B / 0B",32
1740622474,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.58%,"699.6MiB / 15.48GiB",4.41%,"5.36MB / 437kB","0B / 0B",223
1740622486,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.07%,"268.1MiB / 15.48GiB",1.69%,"439kB / 5.36MB","0B / 0B",32
1740622486,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.38%,"700.1MiB / 15.48GiB",4.42%,"5.37MB / 438kB","0B / 0B",224
1740622499,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.08%,"268.1MiB / 15.48GiB",1.69%,"439kB / 5.37MB","0B / 0B",32
1740622499,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.46%,"700.7MiB / 15.48GiB",4.42%,"5.38MB / 439kB","0B / 0B",224
1740622511,29d3a5c70147,reverse-proxy-agent-1,29d3a5c70147,0.07%,"268MiB / 15.48GiB",1.69%,"440kB / 5.38MB","0B / 0B",32
1740622511,ebabb3d2467e,reverse-proxy-controller-1,ebabb3d2467e,0.40%,"701.6MiB / 15.48GiB",4.43%,"5.39MB / 440kB","0B / 0B",224
