Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741077218,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.59MiB / 20MiB",72.93%,"1.18kB / 0B","0B / 0B",19
1741077218,d16129ddb7a0,reverse-proxy-agent-1,d16129ddb7a0,19.05%,"2.27GiB / 15.48GiB",14.67%,"82.6MB / 700kB","0B / 0B",1437
1741077218,7f7f2492e2c1,reverse-proxy-lb-1,7f7f2492e2c1,0.07%,"89.89MiB / 15.48GiB",0.57%,"1.42kB / 0B","0B / 0B",37
1741077218,8a2e25fae2c6,reverse-proxy-controller-1,8a2e25fae2c6,4.71%,"872.6MiB / 15.48GiB",5.51%,"3.38MB / 82.8MB","0B / 0B",244
1741077218,cf7ad0596e5b,reverse-proxy-api-1,cf7ad0596e5b,10.19%,"90.46MiB / 800MiB",11.31%,"75.5kB / 65.8kB","0B / 0B",23
1741077317,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.59MiB / 20MiB",72.93%,"1.18kB / 0B","0B / 0B",19
1741077317,d16129ddb7a0,reverse-proxy-agent-1,d16129ddb7a0,36.43%,"2.296GiB / 15.48GiB",14.84%,"83.2MB / 1.5MB","0B / 0B",1457
1741077317,7f7f2492e2c1,reverse-proxy-lb-1,7f7f2492e2c1,0.07%,"89.89MiB / 15.48GiB",0.57%,"1.42kB / 0B","0B / 0B",37
1741077317,8a2e25fae2c6,reverse-proxy-controller-1,8a2e25fae2c6,4.21%,"876.8MiB / 15.48GiB",5.53%,"3.55MB / 82.8MB","0B / 0B",244
1741077317,cf7ad0596e5b,reverse-proxy-api-1,cf7ad0596e5b,32.40%,"94.27MiB / 800MiB",11.78%,"814kB / 720kB","0B / 0B",24
1741077329,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.17MiB / 20MiB",70.84%,"1.25kB / 0B","0B / 0B",18
1741077329,d16129ddb7a0,reverse-proxy-agent-1,d16129ddb7a0,32.53%,"2.318GiB / 15.48GiB",14.98%,"84.4MB / 3MB","0B / 0B",1445
1741077329,7f7f2492e2c1,reverse-proxy-lb-1,7f7f2492e2c1,0.07%,"90.05MiB / 15.48GiB",0.57%,"1.49kB / 0B","0B / 0B",38
1741077329,8a2e25fae2c6,reverse-proxy-controller-1,8a2e25fae2c6,3.94%,"879.8MiB / 15.48GiB",5.55%,"3.72MB / 82.9MB","0B / 0B",246
1741077329,cf7ad0596e5b,reverse-proxy-api-1,cf7ad0596e5b,56.23%,"108.3MiB / 800MiB",13.54%,"2.34MB / 2.07MB","0B / 0B",28
1741077341,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.17MiB / 20MiB",70.84%,"1.25kB / 0B","0B / 0B",18
1741077341,d16129ddb7a0,reverse-proxy-agent-1,d16129ddb7a0,33.17%,"2.378GiB / 15.48GiB",15.37%,"86.2MB / 5.18MB","0B / 0B",1437
1741077341,7f7f2492e2c1,reverse-proxy-lb-1,7f7f2492e2c1,0.06%,"90.05MiB / 15.48GiB",0.57%,"1.49kB / 0B","0B / 0B",38
1741077341,8a2e25fae2c6,reverse-proxy-controller-1,8a2e25fae2c6,2.57%,"883.3MiB / 15.48GiB",5.57%,"3.89MB / 82.9MB","0B / 0B",243
1741077341,cf7ad0596e5b,reverse-proxy-api-1,cf7ad0596e5b,80.94%,"114.9MiB / 800MiB",14.36%,"4.64MB / 4.11MB","0B / 0B",30
1741077353,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.17MiB / 20MiB",70.84%,"1.25kB / 0B","0B / 0B",18
1741077353,d16129ddb7a0,reverse-proxy-agent-1,d16129ddb7a0,77.43%,"2.462GiB / 15.48GiB",15.91%,"88.6MB / 8.05MB","0B / 0B",1430
1741077353,7f7f2492e2c1,reverse-proxy-lb-1,7f7f2492e2c1,0.11%,"90.05MiB / 15.48GiB",0.57%,"1.49kB / 0B","0B / 0B",38
1741077353,8a2e25fae2c6,reverse-proxy-controller-1,8a2e25fae2c6,3.46%,"886.6MiB / 15.48GiB",5.59%,"4.07MB / 83MB","0B / 0B",243
1741077353,cf7ad0596e5b,reverse-proxy-api-1,cf7ad0596e5b,110.92%,"187.8MiB / 800MiB",23.48%,"7.73MB / 6.85MB","0B / 0B",57
1741077365,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.17MiB / 20MiB",70.84%,"1.25kB / 0B","0B / 0B",18
1741077365,d16129ddb7a0,reverse-proxy-agent-1,d16129ddb7a0,66.19%,"2.601GiB / 15.48GiB",16.81%,"91.5MB / 11.6MB","0B / 0B",1431
1741077365,7f7f2492e2c1,reverse-proxy-lb-1,7f7f2492e2c1,0.06%,"90.06MiB / 15.48GiB",0.57%,"1.49kB / 0B","0B / 0B",38
1741077365,8a2e25fae2c6,reverse-proxy-controller-1,8a2e25fae2c6,4.90%,"888.3MiB / 15.48GiB",5.61%,"4.24MB / 83.1MB","0B / 0B",246
1741077365,cf7ad0596e5b,reverse-proxy-api-1,cf7ad0596e5b,129.68%,"187.2MiB / 800MiB",23.40%,"11.6MB / 10.3MB","0B / 0B",51
1741077377,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.17MiB / 20MiB",70.84%,"1.25kB / 0B","0B / 0B",18
1741077377,d16129ddb7a0,reverse-proxy-agent-1,d16129ddb7a0,123.71%,"2.737GiB / 15.48GiB",17.68%,"94.9MB / 15.6MB","0B / 0B",1430
1741077377,7f7f2492e2c1,reverse-proxy-lb-1,7f7f2492e2c1,0.08%,"90.09MiB / 15.48GiB",0.57%,"1.49kB / 0B","0B / 0B",38
1741077377,8a2e25fae2c6,reverse-proxy-controller-1,8a2e25fae2c6,1.28%,"890.5MiB / 15.48GiB",5.62%,"4.42MB / 83.1MB","0B / 0B",243
1741077377,cf7ad0596e5b,reverse-proxy-api-1,cf7ad0596e5b,85.42%,"202.3MiB / 800MiB",25.29%,"15.9MB / 14.1MB","0B / 0B",61
1741077389,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.17MiB / 20MiB",70.84%,"1.25kB / 0B","0B / 0B",18
1741077389,d16129ddb7a0,reverse-proxy-agent-1,d16129ddb7a0,116.98%,"2.86GiB / 15.48GiB",18.48%,"97.4MB / 19.4MB","0B / 0B",1430
1741077389,7f7f2492e2c1,reverse-proxy-lb-1,7f7f2492e2c1,0.08%,"90.09MiB / 15.48GiB",0.57%,"1.49kB / 0B","0B / 0B",38
1741077389,8a2e25fae2c6,reverse-proxy-controller-1,8a2e25fae2c6,1.50%,"891.9MiB / 15.48GiB",5.63%,"4.59MB / 83.2MB","0B / 0B",243
1741077389,cf7ad0596e5b,reverse-proxy-api-1,cf7ad0596e5b,0.08%,"201.4MiB / 800MiB",25.18%,"17MB / 15.1MB","0B / 0B",61
1741077402,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.17MiB / 20MiB",70.84%,"1.32kB / 0B","0B / 0B",18
1741077402,d16129ddb7a0,reverse-proxy-agent-1,d16129ddb7a0,86.73%,"3.054GiB / 15.48GiB",19.73%,"100MB / 23.7MB","0B / 0B",1430
1741077402,7f7f2492e2c1,reverse-proxy-lb-1,7f7f2492e2c1,0.06%,"90.11MiB / 15.48GiB",0.57%,"1.56kB / 0B","0B / 0B",38
1741077402,8a2e25fae2c6,reverse-proxy-controller-1,8a2e25fae2c6,1.41%,"893.7MiB / 15.48GiB",5.64%,"4.76MB / 83.2MB","0B / 0B",243
1741077402,cf7ad0596e5b,reverse-proxy-api-1,cf7ad0596e5b,151.45%,"209MiB / 800MiB",26.13%,"19.2MB / 16.9MB","0B / 0B",60
1741077414,6aae44ce38b7,reverse-proxy-cache-1,6aae44ce38b7,0.00%,"14.17MiB / 20MiB",70.84%,"1.32kB / 0B","0B / 0B",18
